business_name,category,emirate,city,address,phone,email,website_url,source_url,source_name,last_verified_at
"Wisetech General Maintenance","Air Conditioning Engineers Installation And Maintenance Building Maintenance Painters and Painting Contractors","Abu Dhabi","Abu Dhabi","Office 402, 4th Floor, Rotana Mall Tower, Al Bateen","+971505460926","","https://wisetechmaintenance.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.658Z"
"White Arch General Contracting & Maintenance LLC","Air Conditioning Engineers Installation And Maintenance HVAC and AMC Contract Chiller Installation","Abu Dhabi","Abu Dhabi","Office 203, 2nd Floor, Saeed Nasser Al Junaibi Building, Tourist Club Area","+97126437371","","https://www.whitearch-me.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Thermodynamics Technical Services LLC","Air Conditioning Engineers Installation And Maintenance Walk In Chillers And Freezers HVAC and AMC Contract","Dubai","Dubai","Warehouse 8, Plot 597-975, DIP 2","+97143458399","","https://thermodynamics-me.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Taurus Group","Air Conditioning Engineers Installation And Maintenance Chiller Repair Chiller Maintenance","Abu Dhabi","Abu Dhabi","Block 1, D 153, M 33, Sanaya Road, Musaffah","+97125582800","","https://www.taurusgroupuae.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Thermozone Technical Services LLC","Air Conditioning Engineers Installation And Maintenance Cold Storage Maintenance Walk In Chillers And Freezers","Dubai","Dubai","Showroom No-16, Al Habtoor Showrooms, Nad Al Hammar","+97142586192","","https://thermozone.ae","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Proconnect Technical Services LLC","Air Conditioning Engineers Installation And Maintenance HVAC and AMC Contract Chiller Installation","Dubai","Dubai","Office 409, Al Fahad Building 4, Al Qusais","+971585934044","","https://proconnectae.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Direct Source Engineering LLC","Air Conditioning Engineers Installation And Maintenance Plumbing and Electrical Contractors Annual Maintenance Contractors","Abu Dhabi","Abu Dhabi","Saeed Building , M103, Defense Road","+97126429789","","https://dsgroup.net","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Dunex Technical Services LLC","Air Conditioning Engineers Installation And Maintenance Building Maintenance Painters and Painting Contractors","Dubai","Dubai","Warehouse No 73, Opp Emirates Printing Press, 24 B St, Industrial Area 2, Al Quoz","+97143315656","","https://dunexllc.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Attia Building Contracting LLC","Air Conditioning Engineers Installation And Maintenance AC Installation Air Conditioning Trading","Ajman","Ajman","Ground Floor, Al Attia Plaza, Al Rawdha 3","+971542111113","","https://alattiagroup.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Hausfit Building Contracting LLC SOC","Air Conditioning Engineers Installation And Maintenance Cleaning and Hygiene Materials Cleaning and Maintenance of Kitchen Appliances","Dubai","Dubai","Office Number 205, Churchill Tower, Marasi Drive, Business Bay","+971522626899","","https://hausfits.ae","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
