business_name,category,emirate,city,address,phone,email,website_url,source_url,source_name,last_verified_at,services
"Tak Tak Falls","Essentials & Services","General Luna","General Luna","Siargao","","","","https://www.openstreetmap.org/node/1952247754","OpenStreetMap","2026-03-11T22:53:06.723Z",""
"sailfish bay surf and fishing","Hotels & Stays","General Luna","General Luna","Siargao","","","","https://www.openstreetmap.org/node/2246007881","OpenStreetMap","2026-03-11T22:53:06.724Z",""
"Cloud 9 Surf Viewpoint","Surf Schools & Rentals","General Luna","General Luna","Siargao","","","","https://www.openstreetmap.org/node/3393578886","OpenStreetMap","2026-03-11T22:53:06.724Z",""
"Kawayan Hostel","Hotels & Stays","General Luna","General Luna","Tourism Road, General Luna, Siargao","","","","https://www.openstreetmap.org/node/3393578890","OpenStreetMap","2026-03-11T22:53:06.724Z",""
"Point 303","Hotels & Stays","General Luna","General Luna","Siargao","","","","https://www.openstreetmap.org/node/3612155893","OpenStreetMap","2026-03-11T22:53:06.724Z",""
"Ocean Pacific Inn","Hotels & Stays","General Luna","General Luna","Siargao","","","","https://www.openstreetmap.org/node/4102306893","OpenStreetMap","2026-03-11T22:53:06.724Z",""
"Paglaom Hostel","Hotels & Stays","General Luna","General Luna","Dapa - General Luna Road, Siargao","+63 999 990 0308","contactus@paglaomhostel.com","https://www.paglaomhostel.com/","https://www.openstreetmap.org/node/4143850690","OpenStreetMap","2026-03-11T22:53:06.724Z",""
"Magpupungko Tidal Lagoons","Essentials & Services","General Luna","General Luna","Siargao","","","","https://www.openstreetmap.org/node/4218961234","OpenStreetMap","2026-03-11T22:53:06.724Z",""
"Jing's Place","Hotels & Stays","General Luna","General Luna","Siargao","","","","https://www.openstreetmap.org/node/4456386090","OpenStreetMap","2026-03-11T22:53:06.724Z",""
"Jafe Surf and Sail Resort","Hotels & Stays","General Luna","General Luna","Siargao","+639199912685","resa.jaferesort@gmail.com","http://jaferesortsiargao.com","https://www.openstreetmap.org/node/4456387789","OpenStreetMap","2026-03-11T22:53:06.724Z",""
"Tiki Bungalows","Hotels & Stays","General Luna","General Luna","Tourism Road, Siargao","","","","https://www.openstreetmap.org/node/4566237974","OpenStreetMap","2026-03-11T22:53:06.724Z",""
